network,seed,pruning_level,method,achieved_sparsity,total_params,test_loss,test_acc,min_h1_degree,min_h2_degree,min_output_in_degree,any_disconnected_neuron,log10_total_paths,min_paths_to_a_class,spectral_radius,algebraic_connectivity
FrontLoaded,2,0.2,random,0.2,855010,1.607240796470642,0.4349,2466,206,67,False,8.576352792620277,35483162.0,10.510798815475878,-16.551974861864924
FrontLoaded,2,0.4,magnitude,0.4,855010,1.3939951948165894,0.5144,1477,144,52,False,8.285594456473952,17056496.0,12.67796333060937,-19.056289113623013
FrontLoaded,2,0.4,random,0.4,855010,1.9311549638748169,0.3342,1828,145,45,False,8.193637422740332,13414007.0,8.070376356415247,-12.49719439688811
FrontLoaded,2,0.6,magnitude,0.6,855010,1.5411136810302735,0.4624,742,83,34,False,7.794493442194337,5234696.0,11.973090972448674,-18.860067629769222
FrontLoaded,2,0.6,random,0.6,855010,2.184918003463745,0.1933,1187,93,27,False,7.661363284742886,3540397.0,5.577902959256479,-9.15863880010262
FrontLoaded,2,0.8,magnitude,0.8,855010,2.1388096794128417,0.2445,185,22,10,False,6.896967342393866,412002.0,10.387231444278205,-24.383459043953003
FrontLoaded,2,0.8,random,0.8,855010,2.295287476730347,0.1007,545,40,11,False,6.758237683265126,354540.0,3.0547935402324695,-5.618767834449685
FrontLoaded,2,0.9,magnitude,0.9,855010,2.317756620025635,0.1777,37,2,3,False,6.042068079853687,41031.0,8.865791692137732,
FrontLoaded,2,0.9,random,0.9,855010,2.3084224758148193,0.1,264,18,6,False,5.9549960800283355,48826.0,1.7774201430222047,-3.3241434563332346
FrontLoaded,3,0.0,baseline,0.0,855010,1.3394763402938843,0.5267,3162,280,90,False,8.873027484957786,74649600.0,13.258143177695626,-23.98883128817406
FrontLoaded,3,0.2,magnitude,0.2,855010,1.3433488697052003,0.5272,2329,216,72,False,8.626181193408907,39744744.0,13.226936830092733,-24.156026443551358
FrontLoaded,3,0.2,random,0.2,855010,1.6496643033981324,0.4113,2475,210,66,False,8.575977361466096,35085501.0,10.728694944535341,-19.311668827130415
FrontLoaded,3,0.4,magnitude,0.4,855010,1.3844943822860718,0.5105,1551,150,54,False,8.302252016746497,17581808.0,13.008940506479732,-23.983391269153852
FrontLoaded,3,0.4,random,0.4,855010,1.9195093101501466,0.3278,1829,150,47,False,8.195239562821948,14092359.0,8.179518564610923,-13.926881364567796
FrontLoaded,3,0.6,magnitude,0.6,855010,1.5669844841003417,0.4434,804,88,36,False,7.835439026303288,5436726.0,12.32561979534477,-21.57359340687116
FrontLoaded,3,0.6,random,0.6,855010,2.1840442611694337,0.1989,1193,92,28,False,7.646750650673549,3710603.0,5.609044344174601,-11.39724297775154
FrontLoaded,3,0.8,magnitude,0.8,855010,2.013311399459839,0.2654,246,21,12,False,6.984187710830342,409572.0,10.666633108918663,-18.479116571787685
FrontLoaded,3,0.8,random,0.8,855010,2.290625978088379,0.1366,562,43,14,False,6.747734340145458,445517.0,3.0253905592914743,-5.817441333112506
FrontLoaded,3,0.9,magnitude,0.9,855010,2.187772918701172,0.1904,46,2,3,False,6.126437287104512,6257.0,9.051039271278388,
FrontLoaded,3,0.9,random,0.9,855010,2.3165349159240725,0.1,271,19,8,False,5.971394150031006,66837.0,1.7378465317611014,-3.1499981759044733
FrontLoaded,4,0.0,baseline,0.0,855010,1.353004983329773,0.5169,3162,280,90,False,8.873027484957786,74649600.0,12.875462787646914,-24.83625398501478
FrontLoaded,4,0.2,magnitude,0.2,855010,1.3515639194488525,0.5206,2288,220,69,False,8.60943077316079,38160151.0,12.846553566485879,-24.654071890968527
FrontLoaded,4,0.2,random,0.2,855010,1.6673750049591065,0.4081,2465,206,63,False,8.58149585940218,33482560.0,10.42020500407629,-19.433202831783362
FrontLoaded,4,0.4,magnitude,0.4,855010,1.3744590864181518,0.5132,1492,156,54,False,8.292250310269015,17786685.0,12.635234484843341,-23.966773204964714
